,dataset,method,strategy,model,og_or_samp,balanced_accuracy,f1,precision,recall
854,us_crime,SVMSMOTE,not majority,Logistic,og,-0.07111111111111112,0.005074393811102862,-0.07111111111111112,0.07742565446895544
856,us_crime,SVMSMOTE,all,SVM,og,-0.1346666666666667,-0.07047774596778555,-0.1346666666666667,0.038680392485743065
858,us_crime,SVMSMOTE,all,KNN,og,-0.1704444444444444,-0.06853994590945978,-0.1704444444444444,0.050273089545241456
860,us_crime,SVMSMOTE,all,Tree,og,0.05444444444444452,0.054683080178623666,0.05444444444444452,0.05462996643310236
862,us_crime,SVMSMOTE,all,Logistic,og,-0.07311111111111113,0.0010110941539667184,-0.07311111111111113,0.07297162958599657
864,us_crime,ADASYN,minority,SVM,og,-0.09333333333333338,-0.030373872553024373,-0.09333333333333338,0.07705038198020941
866,us_crime,ADASYN,minority,KNN,og,-0.17155555555555568,-0.05844561235865575,-0.17155555555555568,0.05792717086834731
868,us_crime,ADASYN,minority,Tree,og,0.04733333333333334,0.05368176618622744,0.04733333333333334,0.05916144018583047
870,us_crime,ADASYN,minority,Logistic,og,-0.05400000000000005,0.024228766025641058,-0.05400000000000005,0.09580083043408649
872,us_crime,ADASYN,not minority,SVM,og,0.0,0.0,0.0,0.0
874,us_crime,ADASYN,not minority,KNN,og,0.0,0.0,0.0,0.0
876,us_crime,ADASYN,not minority,Tree,og,-0.03822222222222227,-0.05126643587719393,-0.03822222222222227,-0.06448452386667491
878,us_crime,ADASYN,not minority,Logistic,og,0.0,0.0,0.0,0.0
880,us_crime,ADASYN,not majority,SVM,og,-0.09333333333333338,-0.030373872553024373,-0.09333333333333338,0.07705038198020941
882,us_crime,ADASYN,not majority,KNN,og,-0.16955555555555568,-0.055159005208399,-0.16955555555555568,0.060435072883053276
884,us_crime,ADASYN,not majority,Tree,og,-0.026222222222222147,-0.02696464888827954,-0.026222222222222147,-0.027762092979484176
886,us_crime,ADASYN,not majority,Logistic,og,-0.05400000000000005,0.024228766025641058,-0.05400000000000005,0.09580083043408649
888,us_crime,ADASYN,all,SVM,og,-0.09333333333333338,-0.030373872553024373,-0.09333333333333338,0.07705038198020941
890,us_crime,ADASYN,all,KNN,og,-0.18066666666666675,-0.0616573237533935,-0.18066666666666675,0.0547380636604774
892,us_crime,ADASYN,all,Tree,og,-0.008000000000000007,-0.015678393146780545,-0.008000000000000007,-0.025788770338188938
894,us_crime,ADASYN,all,Logistic,og,-0.06311111111111112,0.02084910872338963,-0.06311111111111112,0.09395149149246285
896,yeast_ml8,SMOTE,minority,SVM,og,0.0075301204819276935,0.00377001722878334,0.0075301204819276935,0.0009179552037860139
898,yeast_ml8,SMOTE,minority,KNN,og,-0.026550647032574703,0.13689562468566385,-0.026550647032574703,0.057808024436904804
900,yeast_ml8,SMOTE,minority,Tree,og,-0.07022534582775547,-0.06035553327733678,-0.07022534582775547,-0.06172343969680305
902,yeast_ml8,SMOTE,minority,Logistic,og,0.0018406961178045744,-0.0037974481314483888,0.0018406961178045744,0.007148053019366718
904,yeast_ml8,SMOTE,not minority,SVM,og,0.0,0.0,0.0,0.0
906,yeast_ml8,SMOTE,not minority,KNN,og,0.0,0.0,0.0,0.0
908,yeast_ml8,SMOTE,not minority,Tree,og,0.0058009817045960865,0.0038818577408091803,0.0058009817045960865,0.0023666967073062706
910,yeast_ml8,SMOTE,not minority,Logistic,og,0.0,0.0,0.0,0.0
912,yeast_ml8,SMOTE,not majority,SVM,og,0.0075301204819276935,0.00377001722878334,0.0075301204819276935,0.0009179552037860139
914,yeast_ml8,SMOTE,not majority,KNN,og,-0.046575189647478865,0.12829270271406712,-0.046575189647478865,0.04650332104667709
916,yeast_ml8,SMOTE,not majority,Tree,og,0.008143685854529237,0.004714886655239281,0.008143685854529237,-0.005652830055776825
918,yeast_ml8,SMOTE,not majority,Logistic,og,-0.028949129852744337,-0.026452418801551525,-0.028949129852744337,-0.01202815205053298
920,yeast_ml8,SMOTE,all,SVM,og,0.0075301204819276935,0.00377001722878334,0.0075301204819276935,0.0009179552037860139
922,yeast_ml8,SMOTE,all,KNN,og,-0.052599286033021,0.11995365746652242,-0.052599286033021,0.04380537213662672
924,yeast_ml8,SMOTE,all,Tree,og,-0.07842481035252119,-0.06903502466633799,-0.07842481035252119,-0.07946985271578944
926,yeast_ml8,SMOTE,all,Logistic,og,0.009593931280678258,0.0012564826411596841,0.009593931280678258,0.01207200803260744
928,yeast_ml8,SMOTEN,minority,SVM,og,0.0,0.0,0.0,0.0
930,yeast_ml8,SMOTEN,minority,KNN,og,0.006247211066488179,0.013212050962351396,0.006247211066488179,0.007925291320143413
932,yeast_ml8,SMOTEN,minority,Tree,og,-0.027554663096831855,-0.028669967756794146,-0.027554663096831855,-0.030738034344172438
934,yeast_ml8,SMOTEN,minority,Logistic,og,0.001506024096385561,0.0012126759534901166,0.001506024096385561,0.0056818847790048865
936,yeast_ml8,SMOTEN,not minority,SVM,og,0.0,0.0,0.0,0.0
938,yeast_ml8,SMOTEN,not minority,KNN,og,0.0,0.0,0.0,0.0
940,yeast_ml8,SMOTEN,not minority,Tree,og,-0.0060240963855421326,-0.005626147292952077,-0.0060240963855421326,-0.005658062573078715
942,yeast_ml8,SMOTEN,not minority,Logistic,og,0.0,0.0,0.0,0.0
944,yeast_ml8,SMOTEN,not majority,SVM,og,0.0,0.0,0.0,0.0
946,yeast_ml8,SMOTEN,not majority,KNN,og,0.006247211066488179,0.013212050962351396,0.006247211066488179,0.007925291320143413
948,yeast_ml8,SMOTEN,not majority,Tree,og,-0.05661535029004905,-0.05905128008996674,-0.05661535029004905,-0.0633285831498035
950,yeast_ml8,SMOTEN,not majority,Logistic,og,0.001506024096385561,0.0012126759534901166,0.001506024096385561,0.0056818847790048865
952,yeast_ml8,SMOTEN,all,SVM,og,0.0,0.0,0.0,0.0
954,yeast_ml8,SMOTEN,all,KNN,og,0.006247211066488179,0.013212050962351396,0.006247211066488179,0.007925291320143413
956,yeast_ml8,SMOTEN,all,Tree,og,-0.04133199464524767,-0.04429871841967731,-0.04133199464524767,-0.050889585350866295
958,yeast_ml8,SMOTEN,all,Logistic,og,0.001506024096385561,0.0012126759534901166,0.001506024096385561,0.0056818847790048865
960,yeast_ml8,SVMSMOTE,minority,SVM,og,0.0075301204819276935,0.00377001722878334,0.0075301204819276935,0.0009179552037860139
962,yeast_ml8,SVMSMOTE,minority,KNN,og,-0.0637550200803213,0.0699835571612934,-0.0637550200803213,0.042098035328840044
964,yeast_ml8,SVMSMOTE,minority,Tree,og,-0.062248995983935684,-0.04905295868056786,-0.062248995983935684,-0.04760438513652743
966,yeast_ml8,SVMSMOTE,minority,Logistic,og,0.0115461847389558,-0.001549733831280653,0.0115461847389558,0.01394067216492706
968,yeast_ml8,SVMSMOTE,not minority,SVM,og,0.0,0.0,0.0,0.0
970,yeast_ml8,SVMSMOTE,not minority,KNN,og,0.0,0.0,0.0,0.0
972,yeast_ml8,SVMSMOTE,not minority,Tree,og,-0.00022311468094599052,-0.0014498768620631042,-0.00022311468094599052,-0.0025999173465579006
974,yeast_ml8,SVMSMOTE,not minority,Logistic,og,0.0,0.0,0.0,0.0
976,yeast_ml8,SVMSMOTE,not majority,SVM,og,0.006024096385542188,0.0030117896740868844,0.006024096385542188,0.0007324417437538644
978,yeast_ml8,SVMSMOTE,not majority,KNN,og,-0.058344489067380656,0.04572545003822537,-0.058344489067380656,0.04575611988103412
980,yeast_ml8,SVMSMOTE,not majority,Tree,og,-0.06007362784471215,-0.06120371397777874,-0.06007362784471215,-0.06226988727517618
982,yeast_ml8,SVMSMOTE,not majority,Logistic,og,0.018462739848282006,0.0011648657560809905,0.018462739848282006,0.022148626216661194
984,yeast_ml8,SVMSMOTE,all,SVM,og,0.004518072289156627,0.0022556830356272872,0.004518072289156627,0.0005478970224164215
986,yeast_ml8,SVMSMOTE,all,KNN,og,-0.046073181615350345,0.0534322785190528,-0.046073181615350345,0.051657790690023075
988,yeast_ml8,SVMSMOTE,all,Tree,og,-0.022423025435073685,-0.023545072183833227,-0.022423025435073685,-0.026955934839114404
990,yeast_ml8,SVMSMOTE,all,Logistic,og,0.010709504685408266,-0.006106936530020035,0.010709504685408266,0.014933349937790552
992,yeast_ml8,ADASYN,minority,SVM,og,0.009036144578313254,0.004530374636161627,0.009036144578313254,0.0011044450504499315
994,yeast_ml8,ADASYN,minority,KNN,og,-0.04205711735832218,0.1345963975740137,-0.04205711735832218,0.04856713995834028
996,yeast_ml8,ADASYN,minority,Tree,og,-0.10899152164212411,-0.08255003185318283,-0.10899152164212411,-0.0834343186360979
998,yeast_ml8,ADASYN,minority,Logistic,og,0.017124051762606007,0.008871412474776741,0.017124051762606007,0.01654934951696152
1000,yeast_ml8,ADASYN,not minority,SVM,og,0.0,0.0,0.0,0.0
1002,yeast_ml8,ADASYN,not minority,KNN,og,0.0,0.0,0.0,0.0
1004,yeast_ml8,ADASYN,not minority,Tree,og,-0.006024096385542188,-0.005265152176544163,-0.006024096385542188,-0.004874496568992193
1006,yeast_ml8,ADASYN,not minority,Logistic,og,0.0,0.0,0.0,0.0
1008,yeast_ml8,ADASYN,not majority,SVM,og,0.010542168674698815,0.005292870882941725,0.010542168674698815,0.0012919190123996671
1010,yeast_ml8,ADASYN,not majority,KNN,og,-0.05282240071396693,0.12926858528967972,-0.05282240071396693,0.04246418018095599
1012,yeast_ml8,ADASYN,not majority,Tree,og,-0.058846497099509176,-0.029416685344533067,-0.058846497099509176,-0.03970047970047974
1014,yeast_ml8,ADASYN,not majority,Logistic,og,0.026606425702811243,0.0132705555730388,0.026606425702811243,0.023206407759219005
1016,yeast_ml8,ADASYN,all,SVM,og,0.01204819277108432,0.006057515006473391,0.01204819277108432,0.0014803849000740166
1018,yeast_ml8,ADASYN,all,KNN,og,-0.0375390450691655,0.14094466332117062,-0.0375390450691655,0.050671144662417955
1020,yeast_ml8,ADASYN,all,Tree,og,-0.06871932173136991,-0.0624924072016223,-0.06871932173136991,-0.06544686819684886
1022,yeast_ml8,ADASYN,all,Logistic,og,-0.008924587237840287,-0.011909077602301144,-0.008924587237840287,0.00039980127111494124
1024,scene,SMOTE,minority,SVM,og,-0.09804405808554773,-0.13168158126256524,-0.09804405808554773,0.3053886868841318
1026,scene,SMOTE,minority,KNN,og,-0.08302874641904578,0.09322189530695169,-0.08302874641904578,0.17891594845425352
1028,scene,SMOTE,minority,Tree,og,-0.012595080509730239,-0.001111623547374374,-0.012595080509730239,-0.0015869124335733398
1030,scene,SMOTE,minority,Logistic,og,-0.03751358292996143,-0.019820491107543914,-0.03751358292996143,-0.014712819214307116
1032,scene,SMOTE,not minority,SVM,og,0.0,0.0,0.0,0.0
1034,scene,SMOTE,not minority,KNN,og,0.0,0.0,0.0,0.0
1036,scene,SMOTE,not minority,Tree,og,-0.03250024696236298,-0.02424003018500187,-0.03250024696236298,-0.02081463449119969
1038,scene,SMOTE,not minority,Logistic,og,0.0,0.0,0.0,0.0
1040,scene,SMOTE,not majority,SVM,og,-0.08730119529783664,-0.11975462359641043,-0.08730119529783664,0.31885284436834627
1042,scene,SMOTE,not majority,KNN,og,-0.0591968783957324,0.11510128899449079,-0.0591968783957324,0.1893047401609046
1044,scene,SMOTE,not majority,Tree,og,-0.05764101550923639,-0.05460298975040001,-0.05764101550923639,-0.051126916068608086
1046,scene,SMOTE,not majority,Logistic,og,-0.021263459448779942,-0.008618020386075842,-0.021263459448779942,-0.00471640926528305
1048,scene,SMOTE,all,SVM,og,-0.08179393460436635,-0.11676302999832411,-0.08179393460436635,0.3146677465043488
1050,scene,SMOTE,all,KNN,og,-0.05788797787217215,0.11673642690658964,-0.05788797787217215,0.1898673882100932
1052,scene,SMOTE,all,Tree,og,-0.023066284698211925,-0.015492885972178794,-0.023066284698211925,-0.013529924998292309
1054,scene,SMOTE,all,Logistic,og,-0.03751358292996143,-0.019820491107543914,-0.03751358292996143,-0.014712819214307116
1056,scene,SMOTEN,minority,SVM,og,-0.009433962264150941,-0.01841951938487485,-0.009433962264150941,-0.0010163791360245922
1058,scene,SMOTEN,minority,KNN,og,0.02933912871678357,0.04427471896749491,0.02933912871678357,0.13650793650793658
1060,scene,SMOTEN,minority,Tree,og,0.06969277882050773,0.06226612980442536,0.06969277882050773,0.05526776040860548
1062,scene,SMOTEN,minority,Logistic,og,-0.023066284698212036,-0.021817881848647525,-0.023066284698212036,-0.0196838581435822
1064,scene,SMOTEN,not minority,SVM,og,0.0,0.0,0.0,0.0
1066,scene,SMOTEN,not minority,KNN,og,0.0,0.0,0.0,0.0
1068,scene,SMOTEN,not minority,Tree,og,-0.02410352662254267,-0.022665945426132983,-0.02410352662254267,-0.02092161109844426
1070,scene,SMOTEN,not minority,Logistic,og,0.0,0.0,0.0,0.0
1072,scene,SMOTEN,not majority,SVM,og,-0.009433962264150941,-0.01841951938487485,-0.009433962264150941,-0.0010163791360245922
1074,scene,SMOTEN,not majority,KNN,og,0.02933912871678357,0.04427471896749491,0.02933912871678357,0.13650793650793658
1076,scene,SMOTEN,not majority,Tree,og,-0.011286179986170097,-0.004289617595545359,-0.011286179986170097,-0.002623876949254811
1078,scene,SMOTEN,not majority,Logistic,og,-0.02044848365109153,-0.018439524590141976,-0.02044848365109153,-0.015620937332713747
1080,scene,SMOTEN,all,SVM,og,-0.009433962264150941,-0.01841951938487485,-0.009433962264150941,-0.0010163791360245922
1082,scene,SMOTEN,all,KNN,og,0.019905166452632628,0.03162112292336128,0.019905166452632628,0.12028028468706431
1084,scene,SMOTEN,all,Tree,og,0.03222858836313347,0.029625089386045578,0.03222858836313347,0.027480626684636134
1086,scene,SMOTEN,all,Logistic,og,-0.02044848365109153,-0.018439524590141976,-0.02044848365109153,-0.015620937332713747
1088,scene,SVMSMOTE,minority,SVM,og,-0.08964733774572753,-0.13121045704117096,-0.08964733774572753,0.27991969703882824
1090,scene,SVMSMOTE,minority,KNN,og,-0.053368566630445535,0.06924067427322245,-0.053368566630445535,0.1880624795930642
1092,scene,SVMSMOTE,minority,Tree,og,-0.07994171688234708,-0.04845493276952062,-0.07994171688234708,-0.04166946674708849
1094,scene,SVMSMOTE,minority,Logistic,og,-0.021263459448779942,-0.008618020386075842,-0.021263459448779942,-0.00471640926528305
1096,scene,SVMSMOTE,not minority,SVM,og,0.0,0.0,0.0,0.0
1098,scene,SVMSMOTE,not minority,KNN,og,0.0,0.0,0.0,0.0
1100,scene,SVMSMOTE,not minority,Tree,og,0.032500246962362866,0.024977912205745523,0.032500246962362866,0.022297008176340616
1102,scene,SVMSMOTE,not minority,Logistic,og,0.0,0.0,0.0,0.0
1104,scene,SVMSMOTE,not majority,SVM,og,-0.06107379235404531,-0.10212750634439238,-0.06107379235404531,0.2681042140913885
1106,scene,SVMSMOTE,not majority,KNN,og,-0.06695149659191935,0.030219673682862602,-0.06695149659191935,0.1734257455017838
1108,scene,SVMSMOTE,not majority,Tree,og,-0.031191346438802725,-0.021448513950349857,-0.031191346438802725,-0.018186053020213477
1110,scene,SVMSMOTE,not majority,Logistic,og,0.0031117257729922354,0.009572766884176409,0.0031117257729922354,0.011784488742881738
1112,scene,SVMSMOTE,all,SVM,og,-0.06816161217030525,-0.10485640396956075,-0.06816161217030525,0.3146530090797097
1114,scene,SVMSMOTE,all,KNN,og,-0.0693470315123974,0.05646274323266509,-0.0693470315123974,0.18007734677135823
1116,scene,SVMSMOTE,all,Tree,og,-0.01913958312753139,-0.011310694286355782,-0.01913958312753139,-0.009331831831831838
1118,scene,SVMSMOTE,all,Logistic,og,-0.0010866343969179182,0.007773956184467079,-0.0010866343969179182,0.009615797037147655
1120,scene,ADASYN,minority,SVM,og,-0.09673515756198758,-0.12930347955065824,-0.09673515756198758,0.30986679330683264
1122,scene,ADASYN,minority,KNN,og,-0.08357206361750458,0.1089578003044337,-0.08357206361750458,0.1788460492685845
1124,scene,ADASYN,minority,Tree,og,-0.02360960189667094,-0.005197252283201004,-0.02360960189667094,-0.0014957101131800599
1126,scene,ADASYN,minority,Logistic,og,-0.04144028450064208,-0.0247978396046169,-0.04144028450064208,-0.01877141917111258
1128,scene,ADASYN,not minority,SVM,og,0.0,0.0,0.0,0.0
1130,scene,ADASYN,not minority,KNN,og,0.0,0.0,0.0,0.0
1132,scene,ADASYN,not minority,Tree,og,-0.02699298626889257,-0.021172804169662385,-0.02699298626889257,-0.01854401242057757
1134,scene,ADASYN,not minority,Logistic,og,0.0,0.0,0.0,0.0
1136,scene,ADASYN,not majority,SVM,og,-0.08730119529783664,-0.11975462359641043,-0.08730119529783664,0.31885284436834627
1138,scene,ADASYN,not majority,KNN,og,-0.09011656623530573,0.10062531579547862,-0.09011656623530573,0.17607421186882566
1140,scene,ADASYN,not majority,Tree,og,-0.05741874938259417,-0.028703589080319336,-0.05741874938259417,-0.027495965664176558
1142,scene,ADASYN,not majority,Logistic,og,-0.05899930850538371,-0.037251169100812054,-0.05899930850538371,-0.02960192107630044
1144,scene,ADASYN,all,SVM,og,-0.08730119529783664,-0.11975462359641043,-0.08730119529783664,0.31885284436834627
1146,scene,ADASYN,all,KNN,og,-0.04741677368369057,0.12981202048578044,-0.04741677368369057,0.19428571428571428
1148,scene,ADASYN,all,Tree,og,-0.014447298231749506,0.006987021042044961,-0.014447298231749506,0.007638061183059097
1150,scene,ADASYN,all,Logistic,og,-0.030697421712930884,-0.01592219050901489,-0.030697421712930884,-0.011112968466887252
1152,libras_move,SMOTE,minority,SVM,og,0.0,0.0,0.0,0.0
1154,libras_move,SMOTE,minority,KNN,og,-0.2740863787375416,-0.22219382684498967,-0.2740863787375416,0.030973145071982344
1156,libras_move,SMOTE,minority,Tree,og,-0.1312292358803987,-0.15224608073899715,-0.1312292358803987,0.10725377107364675
1158,libras_move,SMOTE,minority,Logistic,og,0.0,0.0,0.0,0.0
1160,libras_move,SMOTE,not minority,SVM,og,0.0,0.0,0.0,0.0
1162,libras_move,SMOTE,not minority,KNN,og,0.0,0.0,0.0,0.0
1164,libras_move,SMOTE,not minority,Tree,og,0.0,0.0,0.0,0.0
1166,libras_move,SMOTE,not minority,Logistic,og,0.0,0.0,0.0,0.0
1168,libras_move,SMOTE,not majority,SVM,og,0.0,0.0,0.0,0.0
1170,libras_move,SMOTE,not majority,KNN,og,-0.2624584717607974,-0.18760324642677584,-0.2624584717607974,0.0848214285714286
1172,libras_move,SMOTE,not majority,Tree,og,-0.11960132890365449,-0.12351778656126478,-0.11960132890365449,0.18321995464852603
1174,libras_move,SMOTE,not majority,Logistic,og,0.0,0.0,0.0,0.0
1176,libras_move,SMOTE,all,SVM,og,0.0,0.0,0.0,0.0
1178,libras_move,SMOTE,all,KNN,og,-0.2740863787375416,-0.22219382684498967,-0.2740863787375416,0.030973145071982344
1180,libras_move,SMOTE,all,Tree,og,-0.11960132890365449,-0.12351778656126478,-0.11960132890365449,0.18321995464852603
1182,libras_move,SMOTE,all,Logistic,og,0.0,0.0,0.0,0.0
1184,libras_move,SMOTEN,minority,SVM,og,0.0,0.0,0.0,0.0
1186,libras_move,SMOTEN,minority,KNN,og,0.011627906976744207,0.028083028083028094,0.011627906976744207,0.16777482269503552
1188,libras_move,SMOTEN,minority,Tree,og,0.0946843853820597,0.1263193735103847,0.0946843853820597,0.22035923527597912
1190,libras_move,SMOTEN,minority,Logistic,og,0.0,0.0,0.0,0.0
1192,libras_move,SMOTEN,not minority,SVM,og,0.0,0.0,0.0,0.0
1194,libras_move,SMOTEN,not minority,KNN,og,0.0,0.0,0.0,0.0
1196,libras_move,SMOTEN,not minority,Tree,og,0.0,0.0,0.0,0.0
1198,libras_move,SMOTEN,not minority,Logistic,og,0.0,0.0,0.0,0.0
1200,libras_move,SMOTEN,not majority,SVM,og,0.0,0.0,0.0,0.0
1202,libras_move,SMOTEN,not majority,KNN,og,0.011627906976744207,0.028083028083028094,0.011627906976744207,0.16777482269503552
1204,libras_move,SMOTEN,not majority,Tree,og,0.08305647840531549,0.11111111111111105,0.08305647840531549,0.17730496453900713
1206,libras_move,SMOTEN,not majority,Logistic,og,0.0,0.0,0.0,0.0
1208,libras_move,SMOTEN,all,SVM,og,0.0,0.0,0.0,0.0
1210,libras_move,SMOTEN,all,KNN,og,0.011627906976744207,0.028083028083028094,0.011627906976744207,0.16777482269503552
1212,libras_move,SMOTEN,all,Tree,og,0.0946843853820597,0.1263193735103847,0.0946843853820597,0.22035923527597912
1214,libras_move,SMOTEN,all,Logistic,og,0.0,0.0,0.0,0.0
1216,libras_move,SVMSMOTE,minority,SVM,og,0.0,0.0,0.0,0.0
1218,libras_move,SVMSMOTE,minority,KNN,og,-0.2857142857142858,-0.2610416403519852,-0.2857142857142858,-0.040719696969696906
1220,libras_move,SVMSMOTE,minority,Tree,og,-0.03654485049833889,-0.02882081686429505,-0.03654485049833889,0.2943310657596372
1222,libras_move,SVMSMOTE,minority,Logistic,og,0.0,0.0,0.0,0.0
1224,libras_move,SVMSMOTE,not minority,SVM,og,0.0,0.0,0.0,0.0
1226,libras_move,SVMSMOTE,not minority,KNN,og,0.0,0.0,0.0,0.0
1228,libras_move,SVMSMOTE,not minority,Tree,og,0.05980066445182719,0.07427536231884047,0.05980066445182719,-0.15863366623245034
1230,libras_move,SVMSMOTE,not minority,Logistic,og,0.0,0.0,0.0,0.0
1232,libras_move,SVMSMOTE,not majority,SVM,og,0.0,0.0,0.0,0.0
1234,libras_move,SVMSMOTE,not majority,KNN,og,-0.2740863787375416,-0.22219382684498967,-0.2740863787375416,0.030973145071982344
1236,libras_move,SVMSMOTE,not majority,Tree,og,-0.10797342192691028,-0.09814804136393329,-0.10797342192691028,0.23423005565862698
1238,libras_move,SVMSMOTE,not majority,Logistic,og,0.0,0.0,0.0,0.0
1240,libras_move,SVMSMOTE,all,SVM,og,0.011627906976744207,0.037929024997990446,0.011627906976744207,0.08383838383838382
1242,libras_move,SVMSMOTE,all,KNN,og,-0.2026578073089702,-0.1726243105553451,-0.2026578073089702,0.05397727272727271
1244,libras_move,SVMSMOTE,all,Tree,og,-0.07142857142857151,-0.07797071842015668,-0.07142857142857151,-0.05137989515880359
1246,libras_move,SVMSMOTE,all,Logistic,og,0.011627906976744207,0.03617637044603339,0.011627906976744207,0.10072463768115947
1248,libras_move,ADASYN,minority,SVM,og,0.0,0.0,0.0,0.0
1250,libras_move,ADASYN,minority,KNN,og,-0.2508305647840532,-0.15644078144078155,-0.2508305647840532,0.126778455284553
1252,libras_move,ADASYN,minority,Tree,og,-0.10797342192691028,-0.09814804136393329,-0.10797342192691028,0.23423005565862698
1254,libras_move,ADASYN,minority,Logistic,og,0.023255813953488302,0.0678257555436943,0.023255813953488302,0.16814888010540197
1256,libras_move,ADASYN,not minority,SVM,og,0.0,0.0,0.0,0.0
1258,libras_move,ADASYN,not minority,KNN,og,0.0,0.0,0.0,0.0
1260,libras_move,ADASYN,not minority,Tree,og,0.0,0.0,0.0,0.0
1262,libras_move,ADASYN,not minority,Logistic,og,0.0,0.0,0.0,0.0
1264,libras_move,ADASYN,not majority,SVM,og,0.0,0.0,0.0,0.0
1266,libras_move,ADASYN,not majority,KNN,og,-0.2624584717607974,-0.18760324642677584,-0.2624584717607974,0.0848214285714286
1268,libras_move,ADASYN,not majority,Tree,og,-0.11960132890365449,-0.12351778656126478,-0.11960132890365449,0.18321995464852603
1270,libras_move,ADASYN,not majority,Logistic,og,0.011627906976744207,0.03617637044603339,0.011627906976744207,0.10072463768115947
1272,libras_move,ADASYN,all,SVM,og,0.0,0.0,0.0,0.0
1274,libras_move,ADASYN,all,KNN,og,-0.2624584717607974,-0.18760324642677584,-0.2624584717607974,0.0848214285714286
1276,libras_move,ADASYN,all,Tree,og,-0.07142857142857151,-0.07797071842015668,-0.07142857142857151,-0.05137989515880359
1278,libras_move,ADASYN,all,Logistic,og,0.0,0.0,0.0,0.0
1280,thyroid_sick,SMOTE,minority,SVM,og,-0.38877527369899245,-0.2942971469529025,-0.38877527369899245,-0.2551955121194855
1282,thyroid_sick,SMOTE,minority,KNN,og,-0.12799432832972035,-0.025475003283837783,-0.12799432832972035,0.11229302521510154
1284,thyroid_sick,SMOTE,minority,Tree,og,-0.0063056430392518514,0.0021636516570869846,-0.0063056430392518514,0.009539012156155824
1286,thyroid_sick,SMOTE,minority,Logistic,og,-0.08754277611899619,0.14091979519073172,-0.08754277611899619,0.25788817289362975
1288,thyroid_sick,SMOTE,not minority,SVM,og,0.0,0.0,0.0,0.0
1290,thyroid_sick,SMOTE,not minority,KNN,og,0.0,0.0,0.0,0.0
1292,thyroid_sick,SMOTE,not minority,Tree,og,-0.008187110583936619,-0.010706480632803106,-0.008187110583936619,-0.01287897364815227
1294,thyroid_sick,SMOTE,not minority,Logistic,og,0.0,0.0,0.0,0.0
1296,thyroid_sick,SMOTE,not majority,SVM,og,-0.3955512836244155,-0.2963351627847191,-0.3955512836244155,-0.25599264909856595
1298,thyroid_sick,SMOTE,not majority,KNN,og,-0.10766629855345133,-0.01789918673293156,-0.10766629855345133,0.11294910102628819
1300,thyroid_sick,SMOTE,not majority,Tree,og,0.007246376811594124,0.004344075458903474,0.007246376811594124,0.001573455957857517
1302,thyroid_sick,SMOTE,not majority,Logistic,og,-0.08989461054985215,0.13495478276385076,-0.08989461054985215,0.25352720415350216
1304,thyroid_sick,SMOTE,all,SVM,og,-0.3955512836244155,-0.2963351627847191,-0.3955512836244155,-0.25599264909856595
1306,thyroid_sick,SMOTE,all,KNN,og,-0.12074795151812612,-0.02092729304931673,-0.12074795151812612,0.11533876662023068
1308,thyroid_sick,SMOTE,all,Tree,og,0.008187110583936619,0.010840477260751102,0.008187110583936619,0.013288688367845247
1310,thyroid_sick,SMOTE,all,Logistic,og,-0.08989461054985215,0.13495478276385076,-0.08989461054985215,0.25352720415350216
1312,thyroid_sick,SMOTEN,minority,SVM,og,-0.2815793420317123,-0.28605217870731864,-0.2815793420317123,-0.2905922790005914
1314,thyroid_sick,SMOTEN,minority,KNN,og,-0.023341104612322194,0.004688523017610136,-0.023341104612322194,0.07443944429003047
1316,thyroid_sick,SMOTEN,minority,Tree,og,-0.0004703668861711918,-0.0032004996580933254,-0.0004703668861711918,-0.005499072334035349
1318,thyroid_sick,SMOTEN,minority,Logistic,og,-0.07868079130707462,0.024077103860608906,-0.07868079130707462,0.13415959515486187
1320,thyroid_sick,SMOTEN,not minority,SVM,og,0.0,0.0,0.0,0.0
1322,thyroid_sick,SMOTEN,not minority,KNN,og,0.0,0.0,0.0,0.0
1324,thyroid_sick,SMOTEN,not minority,Tree,og,0.0063056430392518514,-0.0021636516570869846,0.0063056430392518514,-0.009539012156155824
1326,thyroid_sick,SMOTEN,not minority,Logistic,og,0.0,0.0,0.0,0.0
1328,thyroid_sick,SMOTEN,not majority,SVM,og,-0.28882571884330654,-0.29121418853007913,-0.28882571884330654,-0.2940356773444342
1330,thyroid_sick,SMOTEN,not majority,KNN,og,-0.01609472780072807,0.01091333614498291,-0.01609472780072807,0.07855612436390869
1332,thyroid_sick,SMOTEN,not majority,Tree,og,0.002351834430855959,0.016214430655452694,0.002351834430855959,0.02827952582771487
1334,thyroid_sick,SMOTEN,not majority,Logistic,og,-0.07096404760930919,0.030688037012511438,-0.07096404760930919,0.13996043965943294
1336,thyroid_sick,SMOTEN,all,SVM,og,-0.28882571884330654,-0.29121418853007913,-0.28882571884330654,-0.2940356773444342
1338,thyroid_sick,SMOTEN,all,KNN,og,-0.01609472780072807,0.01091333614498291,-0.01609472780072807,0.07855612436390869
1340,thyroid_sick,SMOTEN,all,Tree,og,0.014963120509359662,0.011672420172715636,0.014963120509359662,0.008924946321251626
1342,thyroid_sick,SMOTEN,all,Logistic,og,-0.07585858999004746,0.037308287518053374,-0.07585858999004746,0.15143564604250692
