,dataset,method,strategy,model,og_or_samp,balanced_accuracy,f1,precision,recall
178,optical_digits,SMOTEN,not majority,KNN,og,-0.0020252060875078914,0.0031431484873665205,-0.0020252060875078914,0.008840089781398497
180,optical_digits,SMOTEN,not majority,Tree,og,-0.04715440710209262,-0.03809637477976824,-0.04715440710209262,-0.028280191402363375
182,optical_digits,SMOTEN,not majority,Logistic,og,-0.024528376664552876,0.0049381885459526265,-0.024528376664552876,0.036604678294242965
184,optical_digits,SMOTEN,all,SVM,og,-0.008049302473050135,-0.00042386240041469847,-0.008049302473050135,0.008109434815006256
186,optical_digits,SMOTEN,all,KNN,og,-0.002354153455928931,0.0015148029851248523,-0.002354153455928931,0.005809990920037089
188,optical_digits,SMOTEN,all,Tree,og,-0.02141328471781867,-0.015266633785713135,-0.02141328471781867,-0.00865817473227537
190,optical_digits,SMOTEN,all,Logistic,og,-0.015163284717818581,0.01200127381032945,-0.015163284717818581,0.04159836286570251
192,optical_digits,SVMSMOTE,minority,SVM,og,-0.025134749524413413,-0.005989268961997585,-0.025134749524413413,0.014151468958283453
194,optical_digits,SVMSMOTE,minority,KNN,og,-0.018833227647431783,0.011474754858062153,-0.018833227647431783,0.040753885593190486
196,optical_digits,SVMSMOTE,minority,Tree,og,-0.04786382371591624,-0.030043635357932752,-0.04786382371591624,-0.01101310007503209
198,optical_digits,SVMSMOTE,minority,Logistic,og,-0.05379676601141403,0.07049752243332175,-0.05379676601141403,0.14658299895107696
200,optical_digits,SVMSMOTE,not minority,SVM,og,0.0,0.0,0.0,0.0
202,optical_digits,SVMSMOTE,not minority,KNN,og,0.0,0.0,0.0,0.0
204,optical_digits,SVMSMOTE,not minority,Tree,og,-0.001315789473684159,-0.005585973169417113,-0.001315789473684159,-0.01036823309657886
206,optical_digits,SVMSMOTE,not minority,Logistic,og,0.0,0.0,0.0,0.0
208,optical_digits,SVMSMOTE,not majority,SVM,og,-0.025134749524413413,-0.005989268961997585,-0.025134749524413413,0.014151468958283453
